dd1,dd2,mult,period,delta_total_score_harsh,delta_final_nav_harsh,delta_cagr_harsh,delta_mdd_pp_harsh,delta_trade_count,delta_fees_usd,delta_buy_fills_per_episode,delta_emergency_dd_share_pp,bootstrap_mean_diff,ci95_low,ci95_high,p_gt_0,add_attempt_count,add_blocked_count,throttle_activation_rate,pass_full,pass_full_reasons,holdout_ok
0.06,0.14,0.2,full,-75.5365,-76918.28,-27.260000000000005,1.6499999999999986,-13.0,-11613.400952,9.211111,-10.144058,-0.00011528176727744683,-0.00018979632305394782,-4.595845537106598e-05,0.0002,1350.0,1234.0,0.914074074074074,False,CI95 strictly negative,
0.06,0.14,0.2,holdout,-37.00209999999999,-2290.199999999999,-14.489999999999998,-3.490000000000002,-5.0,-460.064029,-4.085714,-2.850877,-6.111913914409952e-05,-0.0001554327761972599,2.4191197272483667e-05,0.0887,320.0,258.0,0.80625,,,True
0.06,0.18,0.2,full,-70.113,-73149.26,-24.560000000000002,3.969999999999999,-10.0,-10334.403639,9.055556,-8.673469,-0.00010130261627299413,-0.00016381739626957742,-4.171448027874943e-05,0.0004,1158.0,889.0,0.7677029360967185,False,MDD>+2pp; CI95 strictly negative,
0.06,0.18,0.2,holdout,-54.85569999999999,-3073.6899999999987,-19.619999999999997,-0.8100000000000023,-1.0,-286.497549,5.914286,-3.07971,-7.958653256816038e-05,-0.00015246722578645772,-1.734998132105084e-05,0.004,253.0,145.0,0.5731225296442688,,,False
0.06,0.22,0.2,full,-51.9155,-62495.22,-18.550000000000004,2.1499999999999986,-7.0,-8947.444958,15.311111,-6.200942,-7.549832366577811e-05,-0.00013287096363346224,-1.9195969791374296e-05,0.0041,965.0,596.0,0.6176165803108808,False,MDD>+2pp; CI95 strictly negative,
0.06,0.22,0.2,holdout,-40.018499999999996,-2281.709999999999,-14.439999999999998,-1.490000000000002,-1.0,-168.188582,14.514286,1.268116,-5.64345769098303e-05,-0.00011062690143012482,-1.0359158426985837e-05,0.0078,157.0,5.0,0.03184713375796178,,,False
0.08,0.14,0.2,full,-75.9803,-77086.63,-27.39,1.6499999999999986,-13.0,-11602.915153,9.211111,-10.144058,-0.000115775369972027,-0.00019007253497703436,-4.627836748941646e-05,0.0002,1350.0,1234.0,0.914074074074074,False,CI95 strictly negative,
0.08,0.14,0.2,holdout,-33.704899999999995,-2086.5,-13.169999999999998,-3.0500000000000007,-5.0,-446.66303,-4.685714,-2.850877,-5.5141660846377396e-05,-0.00014856713173901827,3.0226746909101623e-05,0.1122,316.0,258.0,0.8164556962025317,,,True
0.08,0.18,0.2,full,-69.0692,-72590.94,-24.200000000000003,3.969999999999999,-12.0,-10455.947131,0.611111,-8.092074,-9.96193669036419e-05,-0.00016428208841779318,-3.878843297791436e-05,0.0003,1208.0,990.0,0.8195364238410596,False,MDD>+2pp; CI95 strictly negative,
0.08,0.18,0.2,holdout,-57.11019999999999,-3125.7699999999986,-19.97,1.0899999999999999,-4.0,-409.989657,-2.485714,-4.166667,-8.13013560668001e-05,-0.00017744052379971338,4.194174465309482e-06,0.033,303.0,235.0,0.7755775577557755,,,True
0.08,0.22,0.2,full,-53.3851,-63037.43,-18.820000000000004,3.0500000000000043,-7.0,-8965.061693,10.883838,-4.00314,-7.610501623624429e-05,-0.00013457250128780094,-1.896656591873813e-05,0.0047,962.0,608.0,0.632016632016632,False,MDD>+2pp; CI95 strictly negative,
0.08,0.22,0.2,holdout,-37.583299999999994,-2127.8499999999985,-13.439999999999998,-1.0700000000000003,-1.0,-154.416122,13.714286,1.268116,-5.179956952261383e-05,-0.00010678477796843446,-5.715967833213045e-06,0.0129,154.0,7.0,0.045454545454545456,,,False
0.1,0.14,0.2,full,-74.2278,-76451.16,-26.910000000000004,0.9400000000000048,-13.0,-11456.943834,9.811111,-8.967587,-0.00011329876536167009,-0.00018644934283555407,-4.525532887343035e-05,0.0,1331.0,1212.0,0.9105935386927122,False,CI95 strictly negative,
0.1,0.14,0.2,holdout,-33.66,-2082.0699999999997,-13.149999999999999,-3.0500000000000007,-5.0,-446.359436,-4.685714,-2.850877,-5.496710234775193e-05,-0.00014861953726637986,3.0361123322898347e-05,0.1129,316.0,258.0,0.8164556962025317,,,True
0.1,0.18,0.2,full,-69.6192,-72920.57,-24.410000000000004,3.969999999999999,-12.0,-10593.428559,-0.688889,-6.929283,-0.00010087689614744522,-0.00016542414033700442,-4.127748558980503e-05,0.0003,1238.0,1032.0,0.8336025848142165,False,MDD>+2pp; CI95 strictly negative,
0.1,0.18,0.2,holdout,-57.034099999999995,-3121.699999999999,-19.939999999999998,1.0899999999999999,-4.0,-409.673668,-2.485714,-4.166667,-8.112679756817452e-05,-0.00017723970279437013,4.252808766837367e-06,0.0336,303.0,235.0,0.7755775577557755,,,True
0.1,0.22,0.2,full,-53.196400000000004,-62716.77,-18.660000000000004,3.259999999999998,-7.0,-8813.855966,8.883838,-4.00314,-7.511359416515514e-05,-0.00013482449561715948,-1.784720563039848e-05,0.0053,973.0,639.0,0.656731757451182,False,MDD>+2pp; CI95 strictly negative,
0.1,0.22,0.2,holdout,-38.58959999999999,-2178.2699999999986,-13.77,-1.0700000000000003,-1.0,-150.716697,12.914286,1.268116,-5.281158189073962e-05,-0.00010769951821856816,-6.5887082902350215e-06,0.0117,150.0,7.0,0.04666666666666667,,,False
